dest_id,address,geoRef.lat,geoRef.lng
56,"Avenida del Parque 352, Cumbres Oro Sector Le Fontaine, Monterrey, Nuevo Leon",25.40737215,-100.1385888
57,"Avenida del Parque 404, Cumbres Oro Sector Le Fontaine, Monterrey, Nuevo Leon",25.4073851,-100.1369873
58,"Avenida Del Pedregal 1604, Pedregal del Valle, San Pedro Garza García, N.L.",25.4083694,-100.1617569
59,"Avenida Del Pedregal 1604, Pedregal del Valle, San Pedro Garza García, N.L.",25.4084992,-100.1358668
60,"Avenida Del Pedregal 500, Pedregal del Valle, N.L., México",25.4166153,-100.1591213
61,"Avenida del pedregal 536, pedregal del valle, san pedro garza garcia NL",25.41661533,-100.1591215
62,"Avenida Del Pedregal 558, Pedregal del Valle, San Pedro Garza García, Nuevo Leon",25.41661533,-100.1591215
63,"Avenida Del Pedregal 558, Pedregal del Valle, San Pedro Garza García, Nuevo Leon",25.41907321,-100.1433157
64,"Avenida Del Pedregal 558, Zona Tampiquito, Pedregal del Valle, San Pedro Garza García, Nuevo Leon",25.41910951,-100.1433157
65,"Avenida del Roble 101, Valle del Campestre, San Pedro Garza García, N.L., México",25.419324,-100.156665
66,"Avenida del Roble 660,Valle Del Campestre,San Pedro Garza García,Nuevo León,México",25.4204721,-100.1668654
67,"Avenida del Roble 660,Valle Del Campestre,San Pedro Garza García,Nuevo León,México",25.42099666,-100.1669382
68,"Avenida del Teléfono 432, Santa Fe, Apodaca, Nuevo Leon",25.42122,-100.1644044
69,"Avenida del Torreón 1306, Villa de San Miguel la Talaverna, test city, Nuevo Leon",25.42155051,-100.1497208
70,"Avenida del Triunfo 251, Residencial Los Robles, Ciudad Apodaca, N.L., México",25.4249391,-100.1562614
71,"Avenida Diego Díaz de Berlanga 1214, Balcones de Santo Domingo, San Nicolás de los Garza, N.L., México",25.4271693,-100.1475078
72,"Avenida Diego Díaz de Berlanga 129, Año de Juárez, San Nicolás de los Garza, Nuevo Leon",25.42785416,-100.1522738
73,"Avenida Diego Díaz de Berlanga 1800, Torres de Santo Domingo, 66440 San Nicolás de los Garza, N.L., México",25.42796407,-100.1507057
74,"Avenida Diego Díaz de Berlanga 216, Santo Domingo, San Nicolás de los Garza, Nuevo Leon",25.42900902,-100.1516951
75,"Avenida Diego Díaz de Berlanga 400, Pedregal de Santo Domingo, San Nicolás de los Garza, N.L.",25.42991588,-100.1529758
76,"Avenida Diego Rivera 2492, Valle Oriente, San Pedro Garza García, Nuevo Leon",25.4330059,-100.1512152
77,"Avenida Diego Rivera 570, San Pedro Garza García, Nuevo Leon",25.4330273,-100.1506104
78,"Avenida Diego Rivera 570, Valle Oriente, San Pedro Garza García, Nuevo Leon",25.4341725,-100.1512414
79,"Avenida Doctor Alfredo Piñeyro Lopez 1012, Mitras Sur, Monterrey, Nuevo Leon",25.4434353,-100.1596792
80,"Avenida E 101, Milimex, Ciudad Apodaca, Nuevo León",25.4436808,-100.158364
81,"Avenida El Campanario 126, El Campanario, Ciudad Apodaca, Nuevo Leon",25.44473525,-100.160571
83,"Avenida El Sabinal 202., Jacarandas, Ciudad Apodaca, Nuevo León",25.45347501,-100.1732497
85,"Avenida Eloy Cavazos, Rancho Viejo, Juárez, Nuevo León, México, 67190",25.4680301,-100.194291
